SPY,QQQ,TLT
-2.58333205e-03,7.46592405e-03,8.93791542e-03
-1.87059812e-03,-3.93335841e-03,3.68154193e-03
1.11689548e-02,1.80886350e-02,-1.51406962e-03
1.42043482e-04,2.64494831e-03,-1.09962749e-02
2.06251511e-03,-2.23715365e-03,4.38351870e-04
1.24254262e-02,1.73605121e-02,9.04034239e-03
9.11242637e-04,7.99914806e-04,-4.12925659e-03
2.73061904e-03,-7.22442855e-03,1.30618093e-03
-8.14288795e-03,-7.68321587e-03,5.20608908e-03
-1.70585986e-02,-2.23716079e-02,2.15831271e-04
1.43565941e-04,3.52286885e-03,-1.18581226e-02
-1.34953428e-02,-3.10755780e-03,4.36783249e-03
7.38326574e-03,1.74812593e-02,-6.77813457e-03
4.60509776e-03,4.06874762e-03,-8.92706924e-03
5.01240218e-03,8.89484197e-03,-7.22081003e-03
2.49700076e-03,6.41909235e-03,6.55731648e-03
-1.03853043e-02,-1.22726172e-02,3.84942257e-03
-5.84836054e-03,-5.48054251e-03,7.17260785e-03
-5.06929762e-04,1.27415795e-02,-8.94586513e-03
1.97998230e-02,1.57516462e-02,-6.00892635e-03
-3.24134821e-02,-3.05305890e-02,1.28635579e-02
2.41822521e-03,-5.31739875e-03,0.00000000e+00
-4.98954887e-03,-4.72702152e-03,-6.52169682e-03
-1.48216415e-02,-2.43988951e-02,-2.33148726e-03
3.80022117e-03,1.05471077e-03,-1.00551095e-02
1.25650704e-02,1.98360446e-02,-2.13573412e-03
5.87281935e-04,8.85012077e-03,2.25239040e-04
-4.85660135e-03,-5.34198104e-03,2.02332311e-03
-9.78438158e-03,-1.07704346e-02,8.38478504e-03
1.26568335e-03,1.54974561e-02,-5.91821487e-03
-1.63651022e-02,-2.73735758e-02,5.80662150e-03
-9.88257876e-04,-7.83349883e-03,2.11384173e-03
-1.97969307e-03,-5.11398246e-03,6.64344564e-03
4.71498997e-03,1.61058326e-02,4.42118474e-04
-2.75365423e-02,-4.11992315e-02,6.70733015e-03
-5.47370264e-03,0.00000000e+00,1.16575802e-02
3.52264308e-03,-1.05702038e-02,2.16893917e-04
3.12001943e-03,1.40690826e-02,-2.37181198e-03
-1.72852432e-02,-2.43053806e-02,5.21389998e-03
1.03043601e-03,-1.79030605e-03,-2.16858694e-03
-1.02659241e-02,6.03123370e-03,4.55121730e-03
1.76016078e-02,2.35511323e-02,6.46618692e-03
-1.94430243e-02,-2.68975130e-02,4.39479776e-03
4.07852616e-03,1.17735810e-02,-1.07515599e-04
-1.17206178e-02,-1.60285554e-02,-1.43278781e-02
-9.08461489e-03,-7.43341327e-03,8.75099479e-03
-1.41974809e-02,2.26114230e-04,-3.23082797e-04
2.42508881e-02,2.45606455e-02,-1.82410638e-02
9.95359553e-03,6.59445342e-03,-5.16369015e-03
6.21082612e-03,-2.32742337e-02,-3.75128627e-03
5.55293082e-04,4.25152147e-03,3.86171072e-03
1.12810552e-02,0.00000000e+00,-4.96860840e-03
5.39773400e-03,1.30896547e-02,-1.99420222e-03
-2.09715963e-02,-1.51011445e-02,9.71134454e-03
-2.39415510e-04,1.28948208e-02,-1.00446068e-02
-1.47723122e-02,-1.89555778e-02,1.00446068e-02
2.11275611e-02,2.05005056e-02,-4.07089654e-03
1.76606312e-02,5.06017431e-03,9.91124754e-04
-1.33149183e-02,-2.41691866e-03,9.86672947e-03
-5.29602575e-03,-1.28403828e-02,2.20924010e-03
-9.31772701e-03,-1.00778321e-02,-2.29641188e-03
2.66053437e-02,3.32036901e-02,-7.47347973e-03
4.43067574e-03,1.51251474e-02,-4.09037705e-03
-1.50034891e-02,-7.74988430e-03,1.61514902e-02
1.84102356e-02,2.24396271e-02,2.72175910e-03
1.03045149e-02,9.04629879e-03,-9.61166251e-03
-1.04585639e-02,1.04568486e-03,9.28571738e-03
-6.04860392e-03,-2.09413738e-03,-3.48633911e-03
